nome,descricao,area
Arquivo/ reaproveitamento de materiais,"A Arquivo se dedica à criação de um mercado de reaproveitamento de materiais na construção, reduzindo resíduos e impacto de carbono. Diariamente materiais de alta qualidade são desviados para aterros. Nós simplificamos o processo para reduzir o impacto: avaliamos o potencial de reuso dos materiais de um edifício, desmontamos e revendemos. Também oferecemos soluções de projeto para esses elementos, e consultorias para incorporações, visando o maior reaproveitamento possível de materiais",Construção e Imóveis
Avelã Espaço Colaborativo,"Espaço compartilhado para fomentação de economia colaborativa com atividades de consultoria em gestão empresarial, serviços de terapia, massoterapia, nutrição e práticas integrativas e complementares em saúde e contando também com comércio varejista de artigos do vestuário e acessórios entre outros.",Moda e Vestuário
BMTRACK Rastreamento Inteligente,"Somos uma empresa de rastreamento veicular, com uma das maiores plataformas de monitoramento da Amércia Latina, e com um modelo de negócio extremamente escalável, em que a empresa não necessita de braços nas cidades onde pretente atuar, apenas com parcerias locais já é possível o estabelecimento do negócio.",Automotivo e Mobilidade
BOX ACESÍVEL / ELIMINAMOS BARREIRAS,"Promovemos acessibilidade aos boxes de banho, varandas e áreas externas das edificações, eliminando os desníveis nesses acessos, responsáveis por acidentes e segregação social e tornando as habitações mais humanas. O IBGE informa que no Brasil 24% da população são pessoas com deficiência ou mobilidade reduzida, sendo que 33% dos idosos sofrem uma queda por ano, 70% delas ocorrendo nos domicílios e desníveis no chão constam entre os principais motivos.",Construção e Imóveis
BodeTech,"Na caprinovinocultura, a BodeTech é a solução definitiva para gestão eficiente. Nosso aplicativo offline supera as limitações das planilhas, oferecendo controle total com funcionalidades zootécnicas, reprodutivas, nutricionais e financeiras, além de suporte técnico remoto. Nossa tecnologia inovadora de pesagem por imagem, pesa o animal em segundos com resultados precisos.",Agronegócio
Bold Solution,"A Bold Solution, empresa de tecnologia cuja a missão é acelerar os resultados das empresas através de soluções inovadoras, com uso de Inteligências Artificiais, Processamento em nuvem e Big Data, geramos novas experiências para os seus clientes e potencializamos os resultados. Nosso foco é pensar em toda a jornada, desde aquisição, engajamento e retenção com experiências inesquecíveis através das conversas digitais. Venha fazer parte dessa transformação. Link do pitch: https://www.youtube.com/watch?v=5NqclNN05uM",Tecnologia da Informação
Brasil Preserva,"Brasil Preserva é uma Cleantech que transforma resíduos de coco e plástico em novos polímeros sustentáveis, resolvendo o problema do excesso de consumo e descarte. A empresa utiliza tecnologias de economia circular para desenvolver produtos zero resíduo e 100% recicláveis, além de uma solução biodegradável, contribuindo diretamente para a redução da pegada de carbono.",Impacto socioambiental
CARROCASH,"A CARROCASH é uma plataforma que conecta quem quer vender veículos, com milhares de lojistas interessados em comprar. Com o objetivo de selecionar sempre a melhor oferta do mercado. Seu carro é oferecido na CARROCASH e participa de ofertas, no modelo de leilão on line. A melhor oferta é aprovado por você, no seu celular. A venda é realizada de forma rápida e simples.",Automotivo e Mobilidade
Cais Impactaê,"O Cais Impactaê é uma startup educacional que tem o propósito impactar positivamente a formação de estudantes e educadores de escolas públicas brasileiras, através do desenvolvimento e oferta de soluções pedagógicas inovadoras. É assim que contribuímos para o Objetivo de Desenvolvimento Sustentável número 4 da ONU: Educação de Qualidade.",Educação
Carla Piaggio Design,"A Carla Piaggio Design é especializada em publicações e comunicação corporativa, há 19 anos. Empresa com Selo da Diversidade Étnico-Racial e produção com recursos de acessibilidade. Atua na comunicação de instituições sociais, culturais, educacionais e corporações atuantes com responsabilidade social. Produziu livros gratuitos sobre Design e impacto social e fornecedores negros da comunicação. Sua diretora foi reconhecida como um das vozes que lutam para mudar a indústria da comunicação.",Comunicação e Mídia
Cicatribio Cosméticos e Biofármacos,"A Cicatribio é uma startup que atua no mercado de tratamento de feridas, trazendo como solução um creme-gel cicatrizante produzido a partir do látex natural de mangaba (Hancornia speciosa), em que o cliente tem a disposição um aplicativo operado por inteligência artificial, capaz de realizar a medição, avaliação, análise e acompanhamento da ferida. A comercialização será por meio de um modelo de negócio no B2B2C ao qual já encontra-se validado pelos profissionais de saúde e médicos veterinários.",Saúde e Bem Estar
Ciclik,"Fomentamos a reciclagem criando rotas inteligentes que que geram 1 tonelada (por cada dia de coleta) por meio uma plataforma onde o usuário se cadastra e agenda coletas seletivas, e recebem cashback. Passamos essas rotas para cooperativas que registram todos os materiais em nossa plataforma e assim geramos relatórios ESG.",Impacto socioambiental
Club xadrez,"Somos o Club Xadrez, dedicados a ensinar xadrez de forma divertida e educativa para todas as idades. Estimulamos habilidades como atenção e raciocínio lógico por meio de jogos e tecnologia. Atuamos em diversos Estados e Países, oferecendo nossos serviços tanto presencialmente quanto de forma remota. Queremos expandir e destacar os benefícios do xadrez em todas as áreas da vida, sem distinção de classe social ou idade.",Educação
Compre Aqui,"O Compre aqui é um serviço de Delivery online. O cliente pode pedir seus produtos das lojas cadastradas, sem sair de casa, através do site ou app no seu Smartphone.",Comunicação e Mídia
Conexão Azul Digital LTDA,"A Conexão Azul é uma startup de tecnologia que oferece uma plataforma de automação de vendas e marketing em multicanais. Essa plataforma permite que as empresas gerenciem e automatizem suas estratégias de vendas e marketing em vários canais, incluindo redes sociais, email, SMS e outros meios digitais. Somos projetados para ajudar as empresas a aumentar suas vendas, melhorar a eficiência do processo de vendas e reduzir os custos operacionais. A plataforma oferece recursos avançados de",Tecnologia da Informação
Consulti Database Solutions Ltda,Empresa de consultoria e administração de banco de dados e desenvolvimento de aplicações de integração entre sistemas legados.,Tecnologia da Informação
Cátedra Educacional LTDA,"Somos uma startup apaixonada pelo desenvolvimento humano e pela aprendizagem, conectando sonhos com a formação profissional, intelectual e acadêmica através do uso das tecnologias e aplicação de metodologias criativas e inovadoras. Temos o objetivo de promover as mais positivas e duradouras experiências na aprendizagem.",Educação
DGTAX,"Através de uma plataforma digital, voltada para a área tributária, conectaremos consultorias, contribuintes, legislações e entidades sociais em um nova forma de simplificar o processo, para pessoas físicas e jurídicas, sendo possível inserir dados estruturados ou não para a apuração e revisão dos tributos gerando eficiência fiscal, além de incentivar doações as sociedades beneficentes redirecionando recursos públicos diretamente para as entidades pelas pessoas e empresas.",Impacto socioambiental
DigiGov,"Startup especializada em soluções para governo, focada na secretaria de finanças e no aumento da arrecadação municipal. Apresentamos uma plataforma online para pagamentos de débitos municipais, tornando o processo fácil e conveniente para os contribuintes. Além disso, oferecemos serviços de envio em massa de lembretes de pagamento e campanhas promovidas pela prefeitura. Aumentamos a eficiência na arrecadação, reduzindo a inadimplência e fortalecendo o vínculo entre o município e seus cidadãos.",Tecnologia da Informação
Digital Seller,"A Digital Seller é uma plataforma SaaS inovadora, especializada na criação de marketplaces. Com foco em soluções omnichannel, oferece um ecossistema escalável e integrado, ideal para quem deseja criar um shopping virtual com várias lojas administrando seus produtos. Suas funcionalidades incluem integrações com ERP, fast checkout, gestão de sellers, e comissionamento automático. Além disso, a plataforma oferece suporte consultivo completo, ajudando desde o planejamento até a implantação.",Tecnologia da Informação
Dolfidoc,"Muitas pessoas da classe C, com acesso à internet e poder de compra, continuam sobrecarregando o SUS porque desconhecem que podem pagar por consultas particulares acessíveis. Enquanto temos acesso fácil a informações globais, enfrentamos dificuldade para localizar serviços de saúde em nossos próprios municípios. Quem é o cardiologista mais barato da cidade? Quem tem agenda disponível às 20h? E o mais bem avaliado? Para mudar isso, criamos um sistema de cotação online, gratuito e independente, que coleta informações de médicos e serviços de saúde, mesmo os que não estão cadastrados, e as apresenta de forma meritocrática. Nossa solução conecta as pessoas aos serviços certos, ajudando a reduzir a pressão no SUS e promovendo acesso à saúde com eficiência e transparência.",Saúde e Bem Estar
Dona Florinda,"Especialista em cachos, terapeuta capilar tornando assim cachos terapêutico, cuidando dos cabelos cacheados e crespos do couro cabeludo e haste, cursos vip p ensinar outras mulheres, e palestras em empresas e escolas despertando para o cuidado de higiene e saúde com nossos cabelos",Serviços profissionais
EKOA EDUCAÇÃO,"Imagine um mundo em que as questões de ESG são prioridades para todas as empresas? Esse mundo já é uma realidade, e a EKOA está na vanguarda dessa mudança. Transformamos o hoje para criar o amanhã. Somos um hub de soluções educacionais que impulsiona a gestão ESG nas empresas e alavanca a carreira dos profissionais do futuro por meio da produção de conteúdos especializados. Já somos mais de 80.000 profissionais, 50 empresas e 300 mil pessoas impactadas. E estamos só começando.",Educação
EPPA SOLUÇÕES EDUCACIONAIS LTDA,"Nossa empresa oferece serviços de capacitação de pessoas do mercado educacional e corporativo, fornecendo infoprodutos, cursos, consultorias, instrutorias, mentorias e imersões, com vistas a promover quebra de crenças limitantes, buscando criar culturas e processos empresariais, de modo a gerar transformação e resultados tangíveis, bem como potencializar as virtudes pessoais, com atenção especial ao empreendedorismo feminino, a partir do projeto educacional e gerencial DELAS PARA ELAS.",Gestão e Consultoria
ESCOAF,"Conectamos as agroindústrias da Agricultura Familiar com estabelecimentos comerciais utilizando expertise logística, através do nosso delivery, geramos otimização de tempo, redução de custo logístico e visibilidade para as agroindústrias da Bahia.",Logística e Transportes
Ecoloy Brasil,"Prestamos serviços de soluções ambientais para a indústria têxtil e outros grandes poluentes, transformando resíduos (matéria-prima) em produtos funcionais e de qualidade. Geramos oportunidades por meio da capacitação de mão de obra, contribuindo para o progresso da sociedade, realizando o engajamento socioambiental e a conectividade de forma genuína entre as pessoas, empresas e o meio ambiente, promovendo impactos positivos e transformando realidades.",Impacto socioambiental
Educhat+,"O EduChat+ é uma plataforma educacional inovadora que utiliza a metodologia STEAM (Ciência, Tecnologia, Engenharia, Artes e Matemática) para promover um aprendizado interativo, dinâmico e interdisciplinar. Voltado tanto para alunos quanto para professores, o EduChat+ oferece atividades práticas, desafios e projetos que estimulam a curiosidade científica, o pensamento crítico e a criatividade dos estudantes, conectando o aprendizado com o mundo real.",Educação
Exponencial Consultoria e Tecnologia,Minha startup é focada em Inteligência Artificial e Ciência de Dados. Nosso foco é levar soluções inovadoras para a Administração Pública ajudando a profissionalizar cada vez mais a área pública. Nosso principal produto é um robô que se utiliza de IA para gerar documentações e agilizar/apoiar os servidores de forma que possam utilizar seu tempo em trabalhos estratégicos. Processos que levavam de 40 a 90 dias estão sendo executados em menos de 10 minutos.,Governo e Poder Público
Eyby,"somos uma plataforma de marketing de influencia por afiliação. Conectamos marcas de moda e beleza com microinfluenciadores, que possuem entre 1k e 100k seguidores, e gerenciamos tudo, da conexão ao pagamento das comissões.",Comércio eletrônico
FDC TECNOLOGIA,"Empresa familiar criada, desde 1996, estaos focando nosso seguimento em AWS",Serviços profissionais
Forpy,"A Forpy é uma foodtech focada na segurança dos alimentos. Oferecemos uma plataforma SaaS para automação na rotulagem de alimentos e bebidas garantindo a conformidade dos produtos com os órgãos regulatórios. Direcionada para profissionais e empresas do setor alimentício, nossos serviços vão da automação de processos internos, passando por P&D, geração de tabelas nutricionais, além de capacitação e consultoria. Atendemos cooperativas, instituições de ensino, empresas e indústrias. Nosso modelo de negócios é baseado em receitas transacionais e assinaturas recorrentes, com planos personalizados e oportunidades de upselling e cross-selling, promovendo sustentabilidade financeira e social.",Alimentos e Bebidas
Futura Sec,"A Futura Sec é uma startup focada no/em construir/contribuir o futuro da Segurança da Informação através da educação. Levamos a Segurança da Informação de forma inovadora e disruptiva, quebramos paradigmas e proporcionamos às pessoas a oportunidade de escolher o futuro de suas vidas.",Educação
Futurisaude,"O Futurisaude é uma solução web de gestão clínica, focado em inteligência de dados com Machine Learning, atendimento humanizado com IA e o único sistema do mercado que faz a finalização completa de uma marcação de consulta inteiramente pelo whatsapp, facilitando a jornada do paciente, facilitando a tomada de decisões e aumentando o faturamento da clínica com estratégias de retenção de pacientes e diminuição de no-show.",Saúde e Bem Estar
GNUVEM,"Pesquisadora junto a FINEP e FAPESB no Edital Governo Inteligente, Inicialmente voltada para o Planejamento Anual Nutricional e Alimentação Saudável para escolas, restaurantes populares, Cozinhas Comunitárias e pequenas agroindústrias localizadas no semiárido brasileiro.",Impacto socioambiental
GRUPO ADAPTS,"Grupo Adapts, somos especialistas em fornecer soluções de gestão empresarial personalizadas para atender às necessidades específicas da empresa. Oferecemos softwares sob medida em diversas áreas, incluindo RH, DP, Gestão de Saúde e Segurança do trabalho, Gestão de Fornecedores e subcontratações, Registro Diário de Obra, controle de acesso acesso.",Gestão e Consultoria
GenteRH,"A GenteRH é uma empresa especialista em Gestão de pessoas, nasceu em 2022, da necessidade eminente vindo das organizações, mais especificamente as pequenas empresas e familiares em profissionalizarem suas relações de trabalho. Vimos neste público uma oportunidade e um grande problema, que é a falta da gestão estratégica e da estrutura organizacional efetiva. A falta do conhecimento certo e de mentalidade desenvolvedora, favorece o fechamento destas empresas nos primeiros anos de vida, ou mantém em boa parte estagnadas e com potencial de crescimento sub aproveitados. A GenteRH possui nesses dois anos, cases de sucesso, onde pode levar a estrutura de gestão que normalmente eram associadas apenas às grandes empresas, e houve boa aderência e excelentes resultados, comprovados pelos clientes. A solução de dá pela assessoria na reestruturação de equipes, formação de lideranças, reformulação dos formatos de comunicação e novas e verdadeiras diretrizes alinhadas com a razão de existir da empresa, formando assim cultura forte e com mentalidade de crescimento. Esta estrutura pode ser vendida localmente como mentoria, consultoria e assessoria, como também pelo digital através de plataformas e sites.",Gestão e Consultoria
Georaiz,"A Georaiz oferece ao produtor rural o BIOGEM, uma solução inovadora que recupera a fertilidade do solo e impulsiona a produtividade de maneira sustentável. O BIOGEM é um fertilizante biológico que contém microrganismos eficientes e é fabricado com tecnologia exclusiva baseada nos princípios da natureza (Nature-Based Solutions), regenera a vida do solo, equilibra suas propriedades física, químicas e biológicas, promove a produtividade em qualquer tipo de cultivo. Com o BIOGEM você não apenas colhe mais, mas também cultiva um futuro próspero e equilibrado, transformando sua produção em um modelo de sucesso e sustentabilidade.",Agronegócio
Gero Engenharia,"COMECE A OTIMIZAR SUAS OBRAS E PARE DE ATRASAR SEUS EMPREENDIMENTOS Use o poder da IA para criar cronogramas e simulações de construção que reduzem os riscos, ao mesmo tempo que cortam os custos e o tempo de construção. Com o GERO, desenvolva o cronograma ideal durante o planejamento - ou recupere projetos que estão fora do cronograma e acima do orçamento. Oferecemos uma poderosa ferramenta digital, com suporte da nossa consultoria para quem quer construir de forma otimizada e sem sustos.",Construção e Imóveis
Gravae,"A Gravae inova ao instalar câmeras e botoeiras em arenas esportivas, permitindo que usuários capturem os últimos 30 segundos de jogo ao pressionar um botão. Os vídeos são automaticamente gerados e disponíveis em um app, onde podem ser baixados e compartilhados, ideal para atletas que desejam guardar e mostrar suas melhores jogadas.",Esportes e Lazer
Grupo MOVER,Edutech para médicos com foco em medicina de emergência. Objetivo: capacitar médicos para trabalhar no departamento de emergência. Objetivo 2: capacitar médicos para prova de título em medicina de emergência,Educação
HIVE COMPUTER VISION,IA,Tecnologia da Informação
HUMMA+,"A HUMMA+ é uma startup de gestão de pessoas humanizada que apoia empresas e organizações a se tornarem ambientes mais seguros e diversos através de seleção, diagnóstico e consultoria.",Gestão e Consultoria
Help farma App,"Unimos tecnologia e saúde. Nosso maior objetivo é ajudar a salvar vidas. Realizamos a assistência farmacêutica remota via plataforma com diversas formas de atendimento (site com conexão chat bots, whats App, vídeo chamada, telechamada e aplicativo). Nós unimos farmacêuticos especialistas a nosso público alvo (idosos, pacientes portadores de doenças crônicas, usuários de múltiplos medicamentos). Nós ajudamos na redução do número de reações adversas a medicamentos e interações medicamentosas.",Saúde e Bem Estar
Hologram Gestao Empresarial LTDA,"Acreditamos que a liberdade conduz à prosperidade. Através das liberdades de tempo, informação e conhecimento nós servimos às empresas para que tomem melhores decisões, afinal, segundo a McKinsey & Company, decisões orientadas a dados tem 19x maior probabilidade de serem lucrativas.",Gestão e Consultoria
HubDelas,"O número de mulheres empreendedoras cresceu 41% durante a pandemia e a tendência é que esse cenário cresça ainda mais nos próximos anos. Apesar disso, empreender pode ser, para muitas mulheres, uma jornada cansativa e solitária. Por isso, criamos um ambiente de conexão, incentivo e apoio para empreendedoras prosperarem os seus negócios e se desenvolverem profissionalmente. Oferecemos acesso a uma comunidade digital gamificada que incentiva as usuárias a produzirem conteúdos de forma colaborativa",Serviços profissionais
I AM,"Somos especializados na transferência de conhecimento para as áreas de atendimento, vendas consultivas, marketing digital, oratória para negócios e Liderança. Utilizamos uma metodologia de treinamentos experenciais onde o adulto é protagonista do processo.",Educação
Ingá,"Ingá é uma ERP focado em cooperativas e associações da agricultura familiar. Um ERP que controla desde a base de produção, gestão financeira, agroindustrialização e transparência para todos os membros da cooperativa ou associação. Não só facilitamos com o uso da tecnologia como ajudamos na estruturação para uma gestão enxuta e eficiente.",Agronegócio
Inspire Ser,"Desenvolvimento de metodologia já aplicada em diversos meios descritos como periféricos, com predominância feminina, de baixa escolaridade, com diversidade de gênero. Após a finalização de cada grupo, fazemos uma análise dos principais gatilhos emocionais que geram ações involuntárias nas pessoas, o que verdadeiramente prejudica seu desenvolvimento pessoal intra e interpessoal, gerando impactos negativos em suas formas de lidar com o outro, seja cliente direto(empreendedor)e indireto(CLT).",Educação
JULIANA ALVES TEIXEIRA,"Somos uma empresa especializada em redação, edição, revisão de textos e serviços congêneres, com foco na excelência da comunicação escrita. Atuamos transformando conteúdos brutos em materiais claros, objetivos e de alto impacto. Com uma equipe experiente , oferecemos soluções completas e personalizadas para empresas, autores independentes, instituições acadêmicas, órgãos públicos e agências de comunicação.",Comunicação e Mídia
LYRIO ESG SUSTENTABILIDADE,Exploração do uso do bambu em projetos de infraestruturas resilientes inspiradas em ecossistemas de corais e manguezais.,Impacto socioambiental
Lavanderia LAVEmais,"Lavanderia de autoatendimento com marca própria funcionando com redução de custos em água e energia elétrica utilizando máquinas comerciais com injeção automática e programada de sabão e amaciante mediante prévio pagamento. As roupas são lavadas com redução de tempo e sem necessidade de passar a ferro. A loja é completamente automatizada, podendo ser aberta a qualquer momento a pedido do cliente sem necessidade da presença de qualquer pessoa no estabelecimento.",Serviços profissionais
Lidelo Serviços Médicos,"Nossa clínica de fisiatria é especializada em reabilitação física e manejo da dor, oferecendo tratamentos personalizados que combinam tecnologia de ponta com uma abordagem humanizada. Nossa equipe multidisciplinar de médicos, fisioterapeutas e terapeutas ocupacionais trabalha em conjunto para ajudar nossos pacientes a recuperar a mobilidade, melhorar a qualidade de vida e atingir suas metas de saúde.",Saúde e Bem Estar
Lifener,"A Lifener une a eficiência da tecnologia ao conhecimento dos profissionais da saúde, automatizando escalas hospitalares que impactam diretamente na redução da mortalidade infantil, inovando processos feitos de forma manual com papéis, por uma solução intuitiva que facilita o uso e auxilia da melhor forma os profissionais a garantirem o bem-estar e a vida das crianças que lutam contra o câncer. Hoje a Lifener impacta diretamente o bem-estar de crianças e adolescentes diagnosticadas com câncer.",Tecnologia da Informação
Liga de Jovens Baianos,"Nos somos uma liga de jovens baianos que, através de projetos e ações, traz a inovação e o empreendedorismo socioambiental para o estado, beneficiando toda a população. Nossas ações têm como objetivo maior o desenvolvimento social, a preservação ambiental e o crescimento do estado. Enxergamos nesses pilares o melhor caminho para o bem comum da sociedade, defendendo o princípio que o jovem não é só o futuro da nação, somos também o presente!",Educação
MB lab,"O serviço principal é a produção de modelos paramétricos para que os clientes possam reduzir o custo e tempo interno de projeto para realização de orçamentos e fabricação de produtos parametrizados, inclusive em formato web. Na prática são modelos que funcionam através da mudança de parâmetros pré-estabelecidos que fornecem visualização 3D (ajustada em tempo real a partir dessa interação) onde o detalhamento para fabricação é gerado de forma automatizada e instantânea.",Indústria e Transformação
MENU GÁS,"Plataforma de recarga (venda) de botijão de Gás de cozinha (GLP). Semelhante ao ifood, só que no ramos de Gás de cozinha.",Óleo e Gás
MOVING HEALTH,"POR QUE AJUDAR AS PESSOAS A TEREM QUALIDADE DE VIDA? ACREDITAMOS QUE ATRAVÉS DE UMA PRESCRIÇÃO PERSONALIZADA ,TECNOLOGIA E HUMANIZAÇÃO AS PESSOAS TERÃO MAIS ADESÃO E ADERENCIA A MUDANÇA DE HABITOS FÍSICOS COMO IREMOS AJUDAR NESTE CENÁRIO DE INCERTEZAS ? COM TECNOLOGIAS , INOVAÇÃO E HUMANIZAÇÃO , O QUE TEMOS COMO SOLUÇÃO ? ATRAVÉS DE UM MODELO DE REDE DE STUDIOS PERSONALIZADOS PARA O PUBLICO QUE ALMEJA UM ATENDIMENTO E ESPAÇO MAIS CUSTOMIZADO E TRANQUILO PARA PRATICAREM EXERCICIO ORIENTADO.",Saúde e Bem Estar
Mariene Oliveira,Empresa de consultoria de administração,Serviços profissionais
"Meio Mundo Comunicação, Tec Inov. LTDA","A Meio Mundo Comunicação, Tecnologia e Inovação Ltda, com sede em Lauro de Freitas (BA), nasceu em 2016 com o propósito de transformar ideias em resultados através de soluções criativas, tecnológicas e inovadoras. Atuando como agência de publicidade, a empresa vai além da comunicação tradicional: desenvolve estratégias personalizadas de marketing direto, realiza pesquisas de mercado e opinião pública, além de gerir portais e provedores de conteúdo digital. Com foco no desenvolvimento constante",Comunicação e Mídia
Minha Cesta,"A Minha Cesta auxilia de forma direta a comunidade mais carente e tem como missão promover uma jornada de prosperidade e autonomia dos seus beneficiados, que parte da urgência da insegurança alimentar e evoluiu para o fornecimento de cursos e oportunidades para que estes possam conquistar sua independência financeira.",Impacto socioambiental
MisterGuest,"O Problema: O Brasil possui 10.650 hotéis, com 566.00 quartos, dos quais 226.000 ficam vagos todas as noites. A solução: MisterGuest contribui na redução da vacância, gerando receitas com hóspedes que topam se hospedar com uma tarifa reduzida para os quartos que estariam vagos. Como Funciona: O hotel aceitando uma proposta, o hóspede paga 10%, que é a remuneração da plataforma. Automaticamente, gera-se um código localizador para conclusão da reserva e acerto do pagamento dos 90% ao hotel.",Hotelaria e Turismo
Moradia Legal,"A Moradia Legal & Combo Rural GovTech resolve o problema da irregularidade fundiária com nova solução que contém um conjunto de medidas JURÍDICAS, URBANÍSTICAS, AMBIENTAIS E SOCIAIS, incorporando os núcleos informais ao ordenamento territorial URBANO e RURAL. Conectamos e resolvemos o problema da irregularidade fundiária através da PLATAFORMA DE GOVERNANÇA TERRITORIAL INTEGRADA “TERRITORIUM BRASILIS” reunindo no mesmo lugar posseiros de imóveis irregulares, profissionais especializados em regularização fundiária, Prefeituras Municipais, INCRA, IBAMA, Ministério do Meio Ambiente, Receita Federal do Brasil e Cartórios de Registro de Imóveis contribuindo para o alcance dos Objetivos de Desenvolvimento Sustentável da Agenda 2030 em especial os ODS nº 5.a e nº 11.3.",Serviços profissionais
Mycond,"Automatizando a comunicação entre condôminos e síndicos/portaria através da criação de auto serviço, robotizacão e inteligência artificial fazendo da sua casa, um melhor para se viver.",Construção e Imóveis
Nepomuceno Libras,"Imagine não entender nada do que está acontecendo ao seu redor—em um evento, em uma reunião de trabalho ou até mesmo em uma consulta médica. Para a comunidade surda, essa é uma realidade constante. E essa exclusão custa oportunidades e cidadania. Foi por isso que criamos a Nepomuceno Libras, uma startup que oferece tradução e interpretação em Libras, consultoria e treinamento em acessibilidade. Nossa missão vai além de apenas cumprir a legislação. Estamos aqui para garantir igualdade de oportunidades, transformar ambientes e criar relações de inclusão e respeito. Nosso diferencial está nos planos de acessibilidade exclusivos, que oferecem: Soluções sob medida para empresas e eventos. Descontos e benefícios para clientes recorrentes. Certificado de Boas Práticas para empresas que se comprometem com a inclusão. E, mais do que um serviço, entregamos uma mudança de mentalidade, criando ambientes acessíveis e inclusivos. Nosso impacto já está acontecendo! Fomos selecionados para expor na Expo Favela 2024 e atendemos UNEB, SENAI, CRESS e empresa do SEBRAE. Essas parcerias mostram que estamos no caminho certo para fazer a diferença. Sabemos que o caminho é desafiador. A concorrência é forte e as barreiras culturais ainda são grandes. Mas estamos superando esses desafios através de: Parcerias estratégicas com empresas e eventos. Marketing digital de impacto, ampliando nossa presença. Atendimento especializado, colocando o cliente no centro da solução. Queremos continuar sendo a ponte entre o mundo surdo e a sociedade. Com o seu apoio, podemos fazer a inclusão se tornar uma realidade para muito mais pessoas e transformar a Nepomuceno Libras em uma referência nacional de acessibilidade!",Serviços profissionais
Nexios Academy,"Escola on-line de Habilidades digitais, onde ensinamos empresarias, prestadores de serviço e estudantes as habilidades essenciais para o sucesso na nova economia digital",Educação
ODISSEA COMERCIO LTDA,"Com o propósito de reconectar as pessoas ao seu bem-estar física e mental, desenvolvemos em parceria com o SENAI/CIMATEC, Embrapii e Sebrae, a primeira Cápsula de Privação Sensorial de fabricação nacional. Através da cápsula criamos as condições necessárias para a Terapia de Flutuação e Privação Sensorial, um tratamento que integra múltiplos benefícios para o corpo e mente, e que por ser uma prática natural, prazerosa e acessível, tem conquistado cada vez mais usuários ao redor do mundo.",Saúde e Bem Estar
Odara Contraturno Escolar,"O Odara é um espaço de contraturno escolar dedicado ao desenvolvimento infantil, oferecendo atividades nonturno oposto a escola e períodos de férias. Acompanhamento pedagógico, natação, capoeira, dança, teatro, recreação, livre brincar, horário de almoço e banho: muito mais que uma escola em tempo integral pode oferecer. Para além do tempo longe das telas e do aprendizado, temos sido uma generosa rede de apoio às famílias q estão conosco. Uma trabalho pautado em afeto, confiança e parceria.",Educação
Open System Tecnologia,"Atuamos com soluções para automação no almoxarifado e ferramentaria, os sistemas estão em expansão como produto e precisam de apoio para darmos os passos necessários para lançar os produtos e alavancar a venda para novos clientes. São soluções android que rodam e coletores de dados e possuem um módulo web para cadastros e dashboad. O almoxarifado automatiza desde o recebimento até a expedição dos materiais. O ferramentaria controla os emprestimos, manutenções e devoluções das ferramentas.",Tecnologia da Informação
Orbita Tecnologia,"A Órbita Tecnologia é uma software house que se destaca no mercado de tecnologia, com uma trajetória sólida de dois anos e meio. Sediada na Bahia, a empresa atua em 20 cidades, oferecendo soluções de software de gestão comercial e desenvolvimento de software sob medida. Fundada e liderada por Thaiany Santana, uma profissional com 14 anos de experiência em TI e especializada em análise e desenvolvimento de sistemas de gestão comercial, a Órbita Tecnologia tem se firmado como um nome de confiança",Tecnologia da Informação
Orthotic,"A Orthotic é uma startup brasileira focada em transformar o setor de saúde com a criação de dispositivos médicos inovadores, personalizados e de alto desempenho, utilizando tecnologia de impressão 3D. Com uma equipe multidisciplinar e especializada, a Orthotic desenvolve soluções que impactam diretamente a qualidade de vida dos pacientes e otimizam processos clínicos, sempre aliando ciência, tecnologia e acessibilidade.",Saúde e Bem Estar
Oxe Produção Cultural LTDA,"A Oxe Conteúdo é um universo de soluções em projetos digitais, audiovisuais, culturais e de entretenimento. Com um portfólio composto pelas marcas A turma do Griô, BHeroes e BemBoss de soluções em projetos digitais, audiovisuais, culturais e de entretenimento. Com um portfólio composto pelas marcas A turma do Griô, BHeroes e BemBoss, é responsável por idealizar, criar e produzir projetos audiovisuais, culturais e criativos em multiplataformas com foco em educação e tecnologias sociais.",Comunicação e Mídia
Parâmetro Modular Design,Somos uma a primeira Construtech de construção modular offsite da Bahia e nosso foco principal é viabilizar e acelerar as construções em locais paradisíacos para incorporadoras ou empresários.,Construção e Imóveis
Payby,"A Payby é uma empresa especializada em soluções de pagamento voltadas para o setor alimentício. Oferecemos a facilidade de pagar contas em restaurantes diretamente da mesa por meio de QR Codes, sem a necessidade de baixar aplicativos ou realizar cadastros. Nosso software se integra perfeitamente ao sistema de caixa dos restaurantes parceiros, permitindo uma leitura ágil de todas as informações para efetuar o pagamento.",Alimentos e Bebidas
Picktow,"A Picktow é uma empresa de assistência 24h que oferece uma inovadora solução baseada em uma plataforma tecnológica. Nossa missão é conectar rapidamente usuários que precisam de assistência com prestadores de serviços qualificados. Com agilidade e transparência, facilitamos a solicitação e a busca por prestadores, fornecendo informações em tempo real. Atuando em nível nacional, a Picktow revoluciona o mercado de assistência, tornando o processo mais eficiente e acessível para empresas e clientes.",Logística e Transportes
Pittaco Consultoria,Edtech e app voltados para a curadoria de códigos não verbais presentes na imagem com foco em diversidade,Gestão e Consultoria
