nome,descricao,area
AfroSaúde,"Somos uma startup que desenvolve soluções de tecnologia em saúde com objetivos sociais e organizacionais, com atenção especial à população negra. Por meio de uma plataforma, pacientes de todo o Brasil podem acessar profissionais negros da saúde, em diversas atuações. Para empresas, oferecemos uma solução direcionada para as demandas de ESG, focada na saúde mental e bem-estar emocional de pessoas negras, mulheres, PCD e LGBTQIAPN+, com metodologia exclusiva.",Saúde e Bem Estar
Agro Insight,"Somos uma startup de educação e curadoria para que os profissionais do Agro possam encontrar conteúdo digital de qualidade, seguro, prático, antenado com o agora e com o mercado, disponível em um só lugar.",Agronegócio
Aoca Game Lab,"Aoca Game Lab é uma time criativo de Salvador, Brasil. Criamos IPs que partem dos games para atingir outras áreas do entretenimento. Nossa visão criativa combina os potenciais das humanidades e das tecnologias.",Jogos e Entretenimento
Artos 4 gestão ambiental,"Democratizamos o acesso a todos os geradores de resíduos perigosos a estarem de acordo com a normas legais, através de consultoria ambiental, coleta, transporte, tratamento e destinação final com custo acessível. Propósito de cuidar das pessoas, proteger as empresas e cuidar do meio ambiente",Logística e Transportes
Bee2be,"A Bee2Be é uma empresa liderada por mulheres cuja missão é transformar a cadeia global de suprimentos da apicultura e promover a sustentabilidade por meio de uma abordagem inovadora e ágil. Nosso objetivo é impactar positivamente populações carentes e regiões subdesenvolvidas, criando uma economia circular por meio do desenvolvimento de produtos apícolas. Nossos pilares de impacto incluem: impacto ambiental, saúde e bem-estar e impacto social.",Agronegócio
Capim pimenta cosméticos LTDA,"Somos uma startup de cosméticos naturais e veganos. Nossas embalagens são biodegradáveis, pois buscamos reduzir o uso de embalagens plásticas e incentivar nos nossos clientes a conscientização ambiental. Nossos produtos são sólidos e nosso negócio está atrelado a pesquisa para busca de novos extratos naturais oriundos da flora brasileira, a fim de solucionar os 5 problemas de pele que mais acomentem o povo Brasileiro: melasma, rosácea, acnes, olheiras e manchas de sol.",Saúde e Bem Estar
DIGDU,"A Digdu é uma máquina de vendas para instiuções de ensino privadas, que possuí soluções de topo e fundo de funil. Nossa tecnologia entrega um CRM completo para que nossas empresas parceiras possam montar suas campanhas e atender o leads, junto a uma soluçaõ de marketplace onde o parceiro poderá vender diretamente seu produto. A solução antende desde o mercado de ensino infantil, até o ensino superior. Afinal, qual o nome do vendedor da sua escola? Você não sabe né? Sabe porquê? Não existe!",Educação
DREAM SOFTWARE DEVELOPMENT,"A Dream Software: Especialistas em sistemas de gestão para planos e funerárias, oferecendo soluções completas e personalizadas para cada tipo de negócio desde 2012. O Software atual foi construído 14 anos atrás, utilizando de uma linguagem de programação chamada Delphi. Esta linguagem, defasada nos dias de hoje, acaba impondo gargalos no atendimento e escalabilidade do software atual. Dito isso, surgiu-se a necessidade de construir um novo sistema. Utilizando-se dos 14 anos de experiência",Tecnologia da Informação
DROME - Monitoramento Inteligente,"Hoje são incontáveis os episódios de desperdícios de insumos sensíveis a temperatura como medicamentos, vacinas e alimentos. Somos uma plataforma SaaS especializada em monitoramento multivariável usando IoT e computação em nuvem. Atualmente temos uma base de aproximadamente 60 clientes e cerca de 3000 sensores ativos produzindo mais de 1 milhão de dados por dia. No último ano atingimos a marca de 1.2 milhões faturados. Estamos desde 2016 conectando pessoas, ambientes e equipamentos! + Segurança!",Indústria e Transformação
Doctor Pet,"A **PetCareTech** é uma startup dedicada a melhorar a qualidade de vida dos animais de estimação e facilitar a rotina dos tutores. Oferecemos uma plataforma inteligente que conecta donos de pets a uma rede de profissionais qualificados, como veterinários, pet sitters e treinadores. Utilizando tecnologia de geolocalização e inteligência artificial, proporcionamos atendimento personalizado e rápido, garantindo o bem-estar dos animais com serviços como consultas a domicílio, monitoramento de saúde",Agronegócio
Dre Metrics,"Apresentamos o Dre Metrics, o aplicativo financeiro desenvolvido especialmente para micro e pequenos empresários que desejam ter controle total sobre a saúde financeira de seus negócios. Com o Dre Metrics, você pode transformar a maneira como gerencia suas finanças, tomando decisões mais informadas e estratégicas.",Gestão e Consultoria
Drones Solution,"Engineering from a new perspective! Drones Solution provides height inspection, aerial mapping and 3D modeling by drones. We are developing a digital twin platform for the management of inspections in infrastructures and industrial facilities with artificial intelligence for the detection and classification of anomalies by images in an automated way. Taking off results and preserving lives!",Construção e Imóveis
Ellun contabilidade,"Somos uma contabilidade digital voltada pra profissionais que prestam serviços em diversas áreas, mas especialmente para o exterior e que trabalhem com tecnologia (como desenvolvedores, cientistas de dados…). Nosso objetivo é que sejamos as melhores da nossa área, com lideranças e equipe especialmente feminina e com um ambiente de trabalho acolhedor, com uma cultura de busca por conhecimentos e desenvolvimento constantes, pra oferecer uma contabilidade personalizada e descomplicada.",Gestão e Consultoria
Escavador,Escavador: o maior banco de dados jurídico do Brasil com informações completas e consultas complexas. Obtenha insights valiosos com a fonte mais confiável em direito.,Tecnologia da Informação
EuCuido,"EuCuido App é um hub de serviços para o paciente baseado na medicina 4P (Prevenção, Predição, Participação e Personalização) e no Cuidado Centrado na Pessoa. Dentre os diversos serviços disponíveis, temos como destaque o Prontuário Eletrônico na mão do paciente e o Cuidado Contínuo. O EuCuido está aberto para que qualquer player conecte e forneça as devidas informações aos pacientes ou aquisição na forma whitelabel, onde licenciamos toda solução com a marca do cliente.",Saúde e Bem Estar
GRTS Digital,"Somos a única startup a oferecer a transformação digital completa do mundo do trabalho, por meio da digitalização da gestão de relações trabalhista e sindicais. Combinamos as inteligências Artificial e Humana, desde o monitoramento das negociações coletivas, até as análises e gestão das obrigações presentes nestes instrumentos. Entregamos eficiência operacional, elevando a visão estratégica e, além de mitigar e até eliminar a geração de passivos trabalhistas nas maiores empresas do Brasil.",Tecnologia da Informação
GreenChat,"O GreenChat é a solução definitiva para a automação do atendimento ao cliente. Com nosso construtor de chatbots intuitivo e sem necessidade de programação, você pode criar chatbots personalizados facilmente. Nossa plataforma omnichannel permite a integração perfeita em vários canais, como WhatsApp, Telegram, Facebook e Instagram, garantindo uma experiência consistente para seus clientes.",Tecnologia da Informação
Hiperbanco,"O Hiperbanco é uma fintech inovadora que oferece soluções financeiras personalizadas através de tecnologia Banking as a Service. Com foco na descentralização dos serviços financeiros, nossa plataforma abrangente e ágil permite que empresas criem e escalonem suas próprias soluções. Com diferenciais como inovação constante, tecnologia própria e conformidade regulatória, estamos transformando a maneira como as empresas e os usuários finais acessam e utilizam serviços financeiros.",Crédito e Finanças
InsAB - Instituto de Alterismo do Brasil,"Para o InsAB, os resultados advindos das ações de DE&I serão positivos e acontecerão de forma genuína se o ambiente estiver preparado para recebê-las e se as pessoas estiverem engajadas com a causa. Somos o 1º Instituto do Brasil voltado à implementação da Cultura da Generosidade Alterista em empresas, com foco na equidade de gênero. Nosso propósito é construir espaços generosos alteristas (onde os limites são respeitados) antes das ações de DE&I para preparar o ambiente e engajar as pessoas.",Gestão e Consultoria
JO+ Absorvente Dérmico,"Fabrica e comercializa o primeiro absorvente dérmico para gastrostomizados, no mundo, produto patenteado sob nº BR 20 2021 025002 5,utilizado para prevenir pressão do aparelho e absorver os líquidos que vazam. Substitui produtos impróprios. Aplicado de forma preventiva.",Saúde e Bem Estar
Janoo,"A Janoo é uma plataforma (janoo.com.br) que conecta visitantes e gestores de atrativos para terem mais previsibilidade no turismo de natureza por meio de reservas online e integração dessas informações com ferramentas de gestão gerando experiências transformadoras, dados confiáveis para planejamento inteligente da visitação em áreas protegidas",Hotelaria e Turismo
Kontulari Contabilidade Online,"Somos uma startup soteropolitana que chegou para ser referência em contabilidade online no Brasil com o jeito Kontulari de simplificar a gestão contábil para micro e pequenas empresas fomentando assim o empreendedorismo com nossa plataforma completa e realmente intuitiva, de fácil entendimento e navegação dando autonomia para os empresários gerirem suas empresas de forma organizada e sem multas. Nossos clientes tem suporte com experts mesmo no plano básico. Simplifique com a Kontulari!",Tecnologia da Informação
